run_date,condition,runs,baseline_runs,processed_delta_pct,cost_delta_pct,tax_delta_pct,quality_delta,noise_processed_pct,noise_cost_pct
2026-09-06,BE_BRIEF,1,2,2.9973,-3.2006,1.5541,6.5,8.7872,2.0255
2026-09-06,CAVEMAN-FULL,1,2,-7.0116,-5.137,24.2134,0.5,8.7872,2.0255
2026-09-06,HEADROOM,2,2,6.1604,11.2718,1.1468,4.5,8.7872,2.0255
2026-09-06,RTK,1,2,-19.7867,-13.498,-28.1554,2.5,8.7872,2.0255
2026-09-08,BE_BRIEF,1,1,6.255,-1.9157,16.8702,-4.0,,
2026-09-08,CAVEMAN-FULL,1,1,-9.8463,-15.1563,13.3021,-8.0,,
2026-09-08,HEADROOM,1,1,33.0588,21.0256,10.577,-6.0,,
2026-09-08,RTK,1,1,31.2365,10.5624,29.9888,-4.0,,
2026-09-13,BE_BRIEF,1,1,-9.2617,-4.4426,15.8987,4.0,,
2026-09-13,CAVEMAN-FULL,1,1,-5.1084,-6.9746,25.8858,6.0,,
2026-09-13,HEADROOM,1,1,-34.3636,-15.2744,-41.2312,4.0,,
2026-09-13,RTK,1,1,-44.9842,-31.5607,-48.3485,8.0,,
